"","Player_Id","Player_Name","hard_Hitting_Ability_17","Finisher_17","Fast_Scoring_ability_17","Consistency_bat_17","RunsBetweenWicket_17","hard_Hitting_Ability_17_16","Finisher_17_16","Fast_Scoring_ability_17_16","Consistency_bat_17_16","RunsBetweenWicket_17_16","hard_Hitting_Ability_17_16_15","Finisher_17_16_15","Fast_Scoring_ability_17_16_15","Consistency_bat_17_16_15","RunsBetweenWicket_17_16_15","Economy_17","Wicket_Taking_Ability_17","Ball_Consistency_17","Crucial_Wicket_Taking_Ability_17","Short_Performance_Index_17","Economy_17_16","Wicket_Taking_Ability_17_16","Ball_Consistency_17_16","Crucial_Wicket_Taking_Ability_17_16","Short_Performance_Index_17_16","Economy_17_16_15","Wicket_Taking_Ability_17_16_15","Ball_Consistency_17_16_15","Crucial_Wicket_Taking_Ability_17_16_15","Short_Performance_Index_17_16_15"
"353",353,"BJ Rohrer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"354",354,"KL Rahul",NA,NA,NA,NA,NA,1.33574007220217,0.25,1.43321299638989,44.1111111111111,0.133004926108374,1.09756097560976,0.2,1.31463414634146,38.5,0.278125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"355",355,"Q de Kock",NA,NA,NA,NA,NA,1.52941176470588,0,1.30882352941176,37.0833333333333,-0.317796610169492,1.67464114832536,0,1.35645933014354,37.8,-0.47841726618705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"356",356,"R Dhawan",NA,NA,NA,NA,NA,0,1,2.33333333333333,Inf,2.33333333333333,0.512820512820513,0.666666666666667,1.28205128205128,25,0.857142857142857,NA,NA,NA,NA,NA,7.86666666666667,22.5,29.5,0,1,8.66129032258064,41.3333333333333,59.6666666666667,0,0.428571428571429
"357",357,"MG Johnson",0.588235294117647,1,1.17647058823529,Inf,0.666666666666667,0.32258064516129,0.5,0.806451612903226,12.5,0.517241379310345,0.289855072463768,0.416666666666667,0.811594202898551,9.33333333333333,0.553846153846154,7.632,17.8571428571429,22.7142857142857,0,1.4,8.44329896907217,21.5555555555556,30.3333333333333,0,1.125,9.06352941176471,22.3684210526316,33.7894736842105,0,1.11764705882353
"358",358,"LJ Wright",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"359",359,"IC Pandey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.49206349206349,17.1818181818182,21.4545454545455,0,1.1
"360",360,"CM Gautam",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.8,4,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"361",361,"X Thalaivan Sargunam",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"362",362,"DJG Sammy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0.722222222222222,6.5,0.722222222222222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,Inf,Inf,0,0
"363",363,"KW Richardson",NA,NA,NA,NA,NA,0,1,1,Inf,1,0,1,1,Inf,1,NA,NA,NA,NA,NA,10.1162790697674,12.2857142857143,20.7142857142857,0,1.75,10.1162790697674,12.2857142857143,20.7142857142857,0,1.75
"364",364,"MM Sharma",0.431372549019608,0.142857142857143,1,8.5,0.630434782608696,0.897435897435897,0.166666666666667,1.06410256410256,9.22222222222222,0.203125,0.833333333333333,0.294117647058824,1.15625,10.0909090909091,0.3875,9.09747292418773,21.3076923076923,32.3076923076923,0,0.928571428571429,8.73666092943201,22.3461538461538,32.5384615384615,0,0.928571428571429,8.62943071965628,23.275,33.475,0,0.909090909090909
"365",365,"UA Birla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"366",366,"Parvez Rasool",NA,NA,NA,NA,NA,1.11111111111111,0,1.11111111111111,10,0,0.909090909090909,0.5,1.09090909090909,12,0.222222222222222,NA,NA,NA,NA,NA,9.35714285714286,84,131,0,0.25,8.52631578947368,57,81,0,0.333333333333333
"367",367,"Sandeep Sharma",0,1,1,Inf,1,0,1,0.9375,Inf,0.9375,0.333333333333333,0.888888888888889,0.8,24,0.5,8.38,17.6470588235294,24.6470588235294,0.0769230769230769,1.08333333333333,7.98029556650246,19.03125,25.3125,0.037037037037037,1.07692307692308,7.76086956521739,20.4444444444444,26.4444444444444,0.0487804878048781,0.948717948717949
"368",368,"S Kaul",0,1,0,NA,0,0,1,0,NA,0,0,1,0,NA,0,8.52488687782805,13.8125,19.625,0.1,1.33333333333333,8.52488687782805,13.8125,19.625,0.1,1.33333333333333,8.52488687782805,13.8125,19.625,0.1,1.33333333333333
"369",369,"Sachin Baby",0.470588235294118,0,0.882352941176471,5,0.466666666666667,1.11111111111111,0.111111111111111,1.35353535353535,22.3333333333333,0.311688311688312,1.11111111111111,0.111111111111111,1.35353535353535,22.3333333333333,0.311688311688312,NA,NA,NA,NA,NA,4.8,5,4,0,1,4.8,5,4,0,1
"370",370,"PV Tambe",NA,NA,NA,NA,NA,0.526315789473684,1,0.368421052631579,Inf,-0.176470588235294,0.416666666666667,1,0.416666666666667,Inf,0,NA,NA,NA,NA,NA,8.90721649484536,19.4,28.8,0,0.714285714285714,8.21262458471761,25.0833333333333,34.3333333333333,0,0.705882352941177
