"","Player_Id","Player_Name","MVPI_17","Batting_index_17","Bowling_index_17","All_rounder_index_17","MVPI_17_16","Batting_index_17_16","Bowling_index_17_16","All_rounder_index_17_16","MVPI_17_16_15","Batting_index_17_16_15","Bowling_index_17_16_15","All_rounder_index_17_16_15","Batting_index_17_rank","Bowling_index_17_rank","All_rounder_index_17_rank","Batting_index_17_16_rank","Bowling_index_17_16_rank","All_rounder_index_17_16_rank","Batting_index_17_16_15_rank","Bowling_index_17_16_15_rank","All_rounder_index_17_16_15_rank"
"29",106,"AB Dinda",7.25877563491447,2.83780757280022,38.0950211787743,0.0349403778286513,7.04749733948276,2.98722865600453,37.3266613022673,0.033153258714962,7.01128837743387,2.97578008081266,56.9593445650728,0.0334346199380078,97,3,5,109,2,3,113,1,2
"30",110,"AB de Villiers",442.01552094522,11.7134652462294,0,0.0113568267195399,2291.04488975278,17.7620093242032,0,0.0150544960959785,3807.22601648887,19.6112428226695,0,0.0163432929305535,30,117,77,11,119.5,55,8,119.5,45
"31",116,"PJ Sangwan",9.17306279849764,0.559502909281659,13.1200330292166,0.0116284410039601,9.3680354740769,0.561888484065864,13.6084428184941,0.0116400902421661,9.41068003192159,0.561181798275159,19.9603951968149,0.0113152004613967,121,30,75,130,31,82,133,35,89
"32",126,"MM Patel",1.55993406373858,0,19.8615525713684,0.0167823235909493,1.5698602222127,0,18.9019220808707,0.0155064222671156,1.58288207293511,0,29.4154803725261,0.0159859242941167,141.5,13,41,142.5,10,47,143,8,50
"33",136,"A Mishra",134.572468756672,18.287119433135,12.6182189737564,0.0283922913443975,105.274559223599,7.06740970601425,11.7210035754782,0.0156055726991682,125.745852439847,6.0483899404932,18.2396266633759,0.0149528827302252,10,34,8,83,50,46,92,53,55
"34",140,"Iqbal Abdulla",3.69815003104495,0.368845476696025,11.2741145937438,0.00988385139135027,14.4112645071542,0.589920148263981,13.0530076992782,0.0112081909876828,187.166643515393,23.8803857050269,20.2542341231073,0.030908260203048,133,46,97,129,35,88,1,34,3
"35",147,"DR Smith",501.677453879764,10.2173278641202,24.327425641201,0.0304620736233509,1130.4899138615,11.2616854090239,11.9701696388353,0.0193649095335782,1794.18756610011,11.1475614276724,17.024509977271,0.0185419873315844,45,7,6,41,45,26,45,61,30
"36",162,"CH Gayle",333.90002076412,8.49606980576428,0,0.00823739094733217,717.012739345432,8.98720223540027,13.6751610480196,0.018835842744601,1760.05762190942,11.9506975452079,25.5241152624503,0.0238304256529118,61,117,117,67,28,28,36,15,13
"37",163,"MC Henriques",733.46890088412,17.3523747856794,75.8887885195132,0.0809474452893163,813.4435079626,10.1950768858635,17.4023809289034,0.0229172679305536,1425.84061001777,11.6971079350778,19.6499549212214,0.0204267646313156,12,1,1,53,15,16,41,37,20
"38",166,"KV Sharma",98.0465108226232,3.96240185053743,7.60357467678913,0.0102665161465708,142.965646783374,6.91862718477038,11.6279316623832,0.015403116838874,309.257272091127,6.88414947852819,17.9465023771021,0.0154900749748348,86,74,93,84,51,49,86,57,52
"39",183,"NV Ojha",123.031384327168,7.58252048915105,0,0.00735165636149983,274.975616564471,6.64195270918792,0,0.00562950110570493,446.649827680131,6.38009183307824,0,0.00531693532606193,66,117,125,85,119.5,135,90,119.5,136
